OID_PUMA5_20|GEOID_PUMA5_20|NAMELSAD_PUMA5_20|AREALAND_PUMA5_20|AREAWATER_PUMA5_20|MTFCC_PUMA5_20|FUNCSTAT_PUMA5_20|OID_PUMA5_10|GEOID_PUMA5_10|NAMELSAD_PUMA5_10|AREALAND_PUMA5_10|AREAWATER_PUMA5_10|MTFCC_PUMA5_10|FUNCSTAT_PUMA5_10|AREALAND_PART|AREAWATER_PART
2177029922992014|4600601|Sioux Falls City PUMA|219268892|1425020|G6120|S|217404485276546|4600600|Sioux Falls City PUMA|219284310|1532648|G6120|S|219268892|1425020
217704485350754|4700100|Dyer, Weakely and Obion Counties--Dyersburg, Union City and Martin cities PUMA|4670619478|139795567|G6120|S|217404485350754|4700100|Northwest Tennessee--Gibson, Dyer, Obion, Crockett & Lake Counties PUMA|5416329247|138979429|G6120|S|3167511681|136088453
217704485350754|4700100|Dyer, Weakely and Obion Counties--Dyersburg, Union City and Martin cities PUMA|4670619478|139795567|G6120|S|217404485352712|4700200|Land Between the Lakes--Weakley, Henry, Carroll, Humphreys, Benton & Houston Counties PUMA|7421029432|284669081|G6120|S|1503107797|3707114
217704485352712|4700200|Henry, Carol & Humphreys Counties--Paris city PUMA|7108736163|367044663|G6120|S|217404485352712|4700200|Land Between the Lakes--Weakley, Henry, Carroll, Humphreys, Benton & Houston Counties PUMA|7421029432|284669081|G6120|S|5917921635|280961967
217704485352712|4700200|Henry, Carol & Humphreys Counties--Paris city PUMA|7108736163|367044663|G6120|S|217404485353432|4700300|Montgomery & Stewart Counties--Clarksville City PUMA|2587256315|98151478|G6120|S|1190814528|86082696
2177029730276362|4700301|Montgomery County--Clarksville city (South) PUMA|1221763828|11385112|G6120|S|217404485353432|4700300|Montgomery & Stewart Counties--Clarksville City PUMA|2587256315|98151478|G6120|S|1221763828|11385112
2177029730276356|4700302|Clarksville city (North) PUMA|174677959|683670|G6120|S|217404485353432|4700300|Montgomery & Stewart Counties--Clarksville City PUMA|2587256315|98151478|G6120|S|174677959|683670
2177029730276367|4700401|Robertson & Sumner Counties--Springfield & Portland cities PUMA|2327133871|6888309|G6120|S|217404485354835|4700400|Robertson, Dickson, Cheatham & Hickman Counties PUMA|4872286535|16329758|G6120|S|1233697883|451691
2177029730276367|4700401|Robertson & Sumner Counties--Springfield & Portland cities PUMA|2327133871|6888309|G6120|S|217404485355159|4700500|Sumner County--Hendersonville City PUMA|1371292904|35631916|G6120|S|1093430024|6430608
2177029730276367|4700401|Robertson & Sumner Counties--Springfield & Portland cities PUMA|2327133871|6888309|G6120|S|217404485375885|4702502|Nashville-Davidson (North) PUMA|469599660|6135552|G6120|S|5964|6010
2177029730276355|4700501|Hendersonville, Gallatin & Goodlettsville cities PUMA|277862880|29201308|G6120|S|217404485355159|4700500|Sumner County--Hendersonville City PUMA|1371292904|35631916|G6120|S|277862880|29201308
217704485355351|4700600|Macon, Dekalb & Cannon Counties PUMA|4181868485|126475976|G6120|S|217404485355351|4700600|Warren, Macon, Smith, DeKalb, Cannon & Trousdale Counties PUMA|4502704974|102218100|G6120|S|3382085809|98693217
217704485355351|4700600|Macon, Dekalb & Cannon Counties PUMA|4181868485|126475976|G6120|S|217404485356077|4700700|Putnam, Overton, Jackson, Clay & Pickett Counties PUMA|3996104801|123946651|G6120|S|799782676|27782759
217704485356077|4700700|Putnam & Overton Counties--Cookeville city PUMA|3196322125|96163892|G6120|S|217404485356077|4700700|Putnam, Overton, Jackson, Clay & Pickett Counties PUMA|3996104801|123946651|G6120|S|3196322125|96163892
217704485375880|4700800|Campbell, Claiborne & Scott Counties PUMA|4902850810|130890189|G6120|S|217404485357220|4700900|Campbell, Claiborne, Scott, Morgan & Hancock Counties PUMA|5676262444|70708011|G6120|S|4323772905|69884993
217704485375880|4700800|Campbell, Claiborne & Scott Counties PUMA|4902850810|130890189|G6120|S|217404485375887|4701601|Anderson, Union & Knox (North) Counties--Oak Ridge (East) & Clinton Cities PUMA|1564027598|80670227|G6120|S|579077905|61005196
217704485357220|4700900|Greene & Hawkins Counties--Greenville town PUMA|2872877819|37641589|G6120|S|217404485357220|4700900|Campbell, Claiborne, Scott, Morgan & Hancock Counties PUMA|5676262444|70708011|G6120|S|49862|0
217704485357220|4700900|Greene & Hawkins Counties--Greenville town PUMA|2872877819|37641589|G6120|S|217404485357865|4701000|Hawkins & Sullivan (Northwest) Counties--Kingsport City PUMA|1380687830|34355740|G6120|S|1261418230|32541837
217704485357220|4700900|Greene & Hawkins Counties--Greenville town PUMA|2872877819|37641589|G6120|S|217404485360112|4701200|Greene, Carter, Unicoi & Johnson Counties PUMA|3750119609|33603348|G6120|S|1611409727|5099752
217704485357865|4701000|Sullivan County--Kingsport & Bristol cities PUMA|1070810025|42124187|G6120|S|217404485357865|4701000|Hawkins & Sullivan (Northwest) Counties--Kingsport City PUMA|1380687830|34355740|G6120|S|119269600|1813903
217704485357865|4701000|Sullivan County--Kingsport & Bristol cities PUMA|1070810025|42124187|G6120|S|217404485358629|4701100|Sullivan County (Southeast)--Bristol City PUMA|951540425|40310284|G6120|S|951540425|40310284
2177029730276364|4701101|Washington (South) & Carter Counties--Elizabethton city PUMA|2426817644|31158068|G6120|S|217404485821165|3700100|Boone High Country--Watauga, Ashe, Yancey, Avery & Mitchell Counties PUMA|3937207798|13895088|G6120|S|1468|0
2177029730276364|4701101|Washington (South) & Carter Counties--Elizabethton city PUMA|2426817644|31158068|G6120|S|217404485820210|3702300|Haywood, Madison, Swain, Graham & Jackson (North) Counties PUMA|4868811381|64758555|G6120|S|3619|0
2177029730276364|4701101|Washington (South) & Carter Counties--Elizabethton city PUMA|2426817644|31158068|G6120|S|217404485360112|4701200|Greene, Carter, Unicoi & Johnson Counties PUMA|3750119609|33603348|G6120|S|2138709029|28503596
2177029730276364|4701101|Washington (South) & Carter Counties--Elizabethton city PUMA|2426817644|31158068|G6120|S|217404485375881|4701300|Washington County--Johnson City PUMA|845605993|8635313|G6120|S|288103528|2654472
2177029730276343|4701201|Washington County--Johnson City PUMA|557502465|5980841|G6120|S|217404485375881|4701300|Washington County--Johnson City PUMA|845605993|8635313|G6120|S|557502465|5980841
217704485375881|4701300|Hamblen, Jefferson & Grainger Counties--Morristown city PUMA|1856625928|196094103|G6120|S|217404485361579|4701400|Hamblen, Cocke & Grainger Counties PUMA|2273775383|112386370|G6120|S|1144190884|94453686
217704485375881|4701300|Hamblen, Jefferson & Grainger Counties--Morristown city PUMA|1856625928|196094103|G6120|S|217404485365723|4701500|Sevier & Jefferson Counties PUMA|2246974006|115129800|G6120|S|712435044|101640417
217704485361579|4701400|Sevier & Cocke Counties--Sevierville city PUMA|2664122966|31422067|G6120|S|217404485820210|3702300|Haywood, Madison, Swain, Graham & Jackson (North) Counties PUMA|4868811381|64758555|G6120|S|192|0
217704485361579|4701400|Sevier & Cocke Counties--Sevierville city PUMA|2664122966|31422067|G6120|S|217404485360112|4701200|Greene, Carter, Unicoi & Johnson Counties PUMA|3750119609|33603348|G6120|S|64|0
217704485361579|4701400|Sevier & Cocke Counties--Sevierville city PUMA|2664122966|31422067|G6120|S|217404485361579|4701400|Hamblen, Cocke & Grainger Counties PUMA|2273775383|112386370|G6120|S|1129584499|17932684
217704485361579|4701400|Sevier & Cocke Counties--Sevierville city PUMA|2664122966|31422067|G6120|S|217404485365723|4701500|Sevier & Jefferson Counties PUMA|2246974006|115129800|G6120|S|1534538211|13489383
2177029730276351|4701501|Knoxville city (Central) PUMA|156002533|2588677|G6120|S|217404485375891|4701602|Knox County (East) PUMA|651012554|9859336|G6120|S|17998368|0
2177029730276351|4701501|Knoxville city (Central) PUMA|156002533|2588677|G6120|S|217404485553450|4701603|Knoxville City PUMA|227015588|5830709|G6120|S|138004165|2588677
2177029730276345|4701502|Knox County (Southwest) PUMA|170686784|24196180|G6120|S|217404485553450|4701603|Knoxville City PUMA|227015588|5830709|G6120|S|26307058|943229
2177029730276345|4701502|Knox County (Southwest) PUMA|170686784|24196180|G6120|S|217404485375892|4701604|Knox County (West)--Farragut Town PUMA|326949356|29866035|G6120|S|144379726|23252951
2177029730276350|4701503|Knox County (Northwest) PUMA|233627278|6613084|G6120|S|217404485553450|4701603|Knoxville City PUMA|227015588|5830709|G6120|S|51057648|0
2177029730276350|4701503|Knox County (Northwest) PUMA|233627278|6613084|G6120|S|217404485375892|4701604|Knox County (West)--Farragut Town PUMA|326949356|29866035|G6120|S|182569630|6613084
2177029730276341|4701504|Knox County (North, East & South) PUMA|756257985|12158139|G6120|S|217404485375887|4701601|Anderson, Union & Knox (North) Counties--Oak Ridge (East) & Clinton Cities PUMA|1564027598|80670227|G6120|S|111597082|0
2177029730276341|4701504|Knox County (North, East & South) PUMA|756257985|12158139|G6120|S|217404485375891|4701602|Knox County (East) PUMA|651012554|9859336|G6120|S|633014186|9859336
2177029730276341|4701504|Knox County (North, East & South) PUMA|756257985|12158139|G6120|S|217404485553450|4701603|Knoxville City PUMA|227015588|5830709|G6120|S|11646717|2298803
2177029730276359|4701600|Blount County--Maryville & Alcoa cities PUMA|1447336316|20159163|G6120|S|217404485367427|4701700|Blount County PUMA|1447336316|20159163|G6120|S|1447336316|20159163
217704485367427|4701700|Anderson, Roane & Morgan Counties--Oak Ridge city PUMA|3160163110|109102697|G6120|S|217404485357220|4700900|Campbell, Claiborne, Scott, Morgan & Hancock Counties PUMA|5676262444|70708011|G6120|S|1352439677|823018
217704485367427|4701700|Anderson, Roane & Morgan Counties--Oak Ridge city PUMA|3160163110|109102697|G6120|S|217404485375887|4701601|Anderson, Union & Knox (North) Counties--Oak Ridge (East) & Clinton Cities PUMA|1564027598|80670227|G6120|S|873352611|19665031
217704485367427|4701700|Anderson, Roane & Morgan Counties--Oak Ridge city PUMA|3160163110|109102697|G6120|S|217404485372282|4701800|Roane, Loudon & Monroe Counties--Oak Ridge City (West) PUMA|3174886430|179029819|G6120|S|934370822|88614648
217704485372282|4701800|Cumberland, White & Fentress Counties--Crossville city PUMA|4031551836|17053871|G6120|S|217404485375880|4700800|Cumberland, White, Fentress & Van Buren Counties PUMA|4739694231|19947327|G6120|S|4031551836|17053871
217704485374654|4701900|Wilson County--Lebanon & Mount Juliet cities PUMA|1478548412|32071810|G6120|S|217404485375886|4702300|Wilson County--Lebanon & Mount Juliet Cities PUMA|1478528046|32071810|G6120|S|1478528046|32071810
217704485374654|4701900|Wilson County--Lebanon & Mount Juliet cities PUMA|1478548412|32071810|G6120|S|217404485551534|4702501|Nashville-Davidson (East) PUMA|262656642|44606738|G6120|S|20366|0
217704485375293|4702001|Murfreesboro city PUMA|154535589|374846|G6120|S|217404485375895|4702401|Rutherford County (North)--Smyrna Town & La Vergne City PUMA|667645814|11969241|G6120|S|10304035|70833
217704485375293|4702001|Murfreesboro city PUMA|154535589|374846|G6120|S|217404485551950|4702402|Rutherford County (South)--Murfreesboro City PUMA|936241000|437315|G6120|S|144231554|304013
217704485375438|4702002|Rutherford County--Smyrna town & La Vergne city PUMA|217113297|3804422|G6120|S|217404485375895|4702401|Rutherford County (North)--Smyrna Town & La Vergne City PUMA|667645814|11969241|G6120|S|217100038|3804422
