OID_PUMA5_20|GEOID_PUMA5_20|NAMELSAD_PUMA5_20|AREALAND_PUMA5_20|AREAWATER_PUMA5_20|MTFCC_PUMA5_20|FUNCSTAT_PUMA5_20|OID_UA_20|GEOID_UA_20|NAMELSAD_UA_20|AREALAND_UA_20|AREAWATER_UA_20|MTFCC_UA_20|FUNCSTAT_UA_20|AREALAND_PART|AREAWATER_PART
2177029550566441|1700100|Adams, Fulton, Pike, Mason, Schuyler & Brown Counties PUMA|9931472916|208336721|G6120|S||||||||9858575074|208203614
2177029550566441|1700100|Adams, Fulton, Pike, Mason, Schuyler & Brown Counties PUMA|9931472916|208336721|G6120|S|27070495489829|13294|Canton, IL Urban Area|14045059|0|G3500|S|14045059|0
2177029550566441|1700100|Adams, Fulton, Pike, Mason, Schuyler & Brown Counties PUMA|9931472916|208336721|G6120|S|27070378986386|73045|Quincy, IL Urban Area|58852783|133107|G3500|S|58852783|133107
2177029550566435|1700701|Winnebago (Northeast) & Boone Counties PUMA|1089147170|11054575|G6120|S||||||||910374761|7053824
2177029550566435|1700701|Winnebago (Northeast) & Boone Counties PUMA|1089147170|11054575|G6120|S|27070162955771|06760|Beloit, WI--IL Urban Area|82713169|2164278|G3500|S|33275638|770296
2177029550566435|1700701|Winnebago (Northeast) & Boone Counties PUMA|1089147170|11054575|G6120|S|27070162955772|75718|Rockford, IL Urban Area|346575428|5432789|G3500|S|145496771|3230455
2177029550566470|1701901|Champaign County (Southwest)--Champaign & Urbana Cities PUMA|1009134089|2219610|G6120|S||||||||870833471|1104942
2177029550566470|1701901|Champaign County (Southwest)--Champaign & Urbana Cities PUMA|1009134089|2219610|G6120|S|27070144605193|15211|Champaign, IL Urban Area|120497761|975880|G3500|S|120497761|975880
2177029550566470|1701901|Champaign County (Southwest)--Champaign & Urbana Cities PUMA|1009134089|2219610|G6120|S|27070144605194|53416|Mahomet, IL Urban Area|17802857|138788|G3500|S|17802857|138788
2177029550566429|1701902|Champaign (North & East), Vermilion, Iroquois & Ford Counties PUMA|8049127444|17305100|G6120|S||||||||7935051741|14803528
2177029550566429|1701902|Champaign (North & East), Vermilion, Iroquois & Ford Counties PUMA|8049127444|17305100|G6120|S|27070535396880|22204|Danville, IL Urban Area|71985501|2231770|G3500|S|71985501|2231770
