OID_UA_10|GEOID_UA_10|NAMELSAD_UA_10|AREALAND_UA_10|AREAWATER_UA_10|MTFCC_UA_10|FUNCSTAT_UA_10|OID_UA_20|GEOID_UA_20|NAMELSAD_UA_20|AREALAND_UA_20|AREAWATER_UA_20|MTFCC_UA_20|FUNCSTAT_UA_20|AREALAND_PART|AREAWATER_PART
|||||||27070408042905|03196|Arroyo Grande--Grover Beach--Pismo Beach, CA Urban Area|44223390|158952|G3500|S|2497870|5649
|||||||270701007195166|03223|Artesia, NM Urban Area|17739520|16866|G3500|S|4424877|12145
|||||||270701065681486|03250|Arvin, CA Urban Area|6073680|0|G3500|S|372667|0
|||||||2707032391317951|03262|Asbury Lake--Middleburg, FL Urban Area|59576581|700279|G3500|S|4156741|0
|||||||2707091890982|03277|Ashburn, GA Urban Area|10999818|108350|G3500|S|2800136|44756
|||||||27070163363187|03331|Asheboro, NC Urban Area|71019749|315965|G3500|S|6342159|173834
|||||||27070300572244|03358|Asheville, NC Urban Area|643832055|4932387|G3500|S|121353430|641250
|||||||27070408959572|03385|Ashland, OH Urban Area|25515681|92994|G3500|S|4993093|43725
|||||||270704485566126|03395|Ashland, PA Urban Area|3674775|0|G3500|S|250684|0
|||||||27070688620290|03412|Ashland, WI Urban Area|10936251|2466|G3500|S|2575717|2466
|||||||27070284773187|03466|Ashtabula, OH Urban Area|56175650|467129|G3500|S|9679348|78235
|||||||27070467006149|03493|Ashville, OH Urban Area|9860526|0|G3500|S|632010|0
|||||||27070359747023|03520|Aspen, CO Urban Area|13498106|0|G3500|S|2853080|0
|||||||27070860403786|03547|Astoria, OR Urban Area|25041475|335804|G3500|S|6925466|1118
|||||||2707051425890|03601|Atchison, KS Urban Area|13947856|115035|G3500|S|1698813|43427
|||||||2707085573994|03655|Athens, AL Urban Area|52039316|299071|G3500|S|10712752|24512
|||||||27070756659373|03682|Athens, OH Urban Area|24482022|373562|G3500|S|4307553|234790
|||||||27070282835246|03709|Athens, TN Urban Area|40074162|297|G3500|S|9140673|297
|||||||27070735408581|03736|Athens, TX Urban Area|24138742|64685|G3500|S|2772209|0
|||||||27070340025646|03763|Athens-Clarke County, GA Urban Area|237882105|2426867|G3500|S|27559510|395885
|||||||27070245086381|03790|Athol, MA Urban Area|27482042|1195269|G3500|S|7407936|542049
|||||||27070102446168|03817|Atlanta, GA Urban Area|6346820214|94220198|G3500|S|343561687|14733171
|||||||27070140919266|03844|Atlanta, TX Urban Area|17636485|99001|G3500|S|5187939|99001
|||||||27070340054412|03871|Atlantic, IA Urban Area|11633452|113854|G3500|S|4577969|12712
|||||||2707032391318009|03904|Atlantic City--Ocean City--Villas, NJ Urban Area|421843599|10633955|G3500|S|64112897|4290135
|||||||27070112132499|03925|Atmore, AL Urban Area|13219601|52468|G3500|S|1743641|12386
|||||||270704485566089|03957|Atoka, TN Urban Area|25705273|72575|G3500|S|3478330|0
|||||||270704485565018|04021|Aubrey, TX Urban Area|7097052|11230|G3500|S|1680562|10038
|||||||27070356930588|04033|Auburn, AL Urban Area|158393499|1472748|G3500|S|37913618|618290
|||||||2707064489871|04060|Auburn, IN Urban Area|25597810|0|G3500|S|2573528|0
|||||||27070708092775|04114|Auburn, NY Urban Area|34030890|211524|G3500|S|3545199|23587
|||||||270704485564962|04130|Auburn, CA Urban Area|44648435|22143|G3500|S|1350972|0
|||||||2707032391317862|04146|Au Gres, MI Urban Area|10264539|168489|G3500|S|10264539|168489
|||||||27070329496379|04168|Augusta, KS Urban Area|9624503|695128|G3500|S|345830|4168
|||||||27070402745718|04195|Augusta, ME Urban Area|56766242|1871378|G3500|S|14268607|1146417
|||||||27070209248659|04222|Augusta-Richmond County, GA--SC Urban Area|707822587|5760420|G3500|S|118702815|2048170
|||||||27070294338781|04276|Aurora, MO Urban Area|13670605|40800|G3500|S|1362730|4372
|||||||27070244379575|04357|Austin, MN Urban Area|26021766|254097|G3500|S|3191693|0
|||||||27070327918298|04384|Austin, TX Urban Area|1604809936|12678276|G3500|S|363006679|2672436
|||||||27070680083166|04465|Avenal, CA Urban Area|9397889|0|G3500|S|3219671|0
|||||||270704485564491|04587|Aztec, NM Urban Area|17566785|264792|G3500|S|4604917|96387
|||||||2707091459085|04627|Bainbridge, GA Urban Area|27649585|614197|G3500|S|5324850|122822
|||||||27070206512614|04654|Baker City, OR Urban Area|11601573|0|G3500|S|547383|0
|||||||270701065681487|04681|Bakersfield, CA Urban Area|342190994|2545322|G3500|S|29786295|336280
|||||||27070157166071|04843|Baltimore, MD Urban Area|1696273764|55784905|G3500|S|51699251|8738422
